Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,20.5994,15.3924,315,top
C2,0.1uF,C_0402_1005Metric,4.238,32.051,315,top
C3,0.1uF,C_0402_1005Metric,14.262053,22.136053,315,top
C4,0.1uF,C_0402_1005Metric,18.462,52.879,225,top
C5,0.1uF,C_0402_1005Metric,31.924,52.625,135,top
C6,0.1uF,C_0402_1005Metric,39.29,45.259,135,top
C7,0.1uF,C_0402_1005Metric,46.148,32.051,45,top
C8,0.1uF,C_0402_1005Metric,37.004,22.907,45,top
C9,0.1uF,C_0402_1005Metric,29.638,15.541,45,top
C10,0.1uF,C_0402_1005Metric,42.926,29.337,135,top
C11,1uF,C_0402_1005Metric,43.688,28.575,135,top
C12,0.1uF,C_0402_1005Metric,10.08,45.513,225,top
C13,1uF,C_0402_1005Metric,10.842,46.275,225,top
C14,0.1uF,C_0402_1005Metric,39.798,25.955,45,top
C15,0.1uF,C_0402_1005Metric,8.81,27.479,315,top
C16,0.1uF,C_0402_1005Metric,6.27,40.433,225,top
C17,0.1uF,C_0402_1005Metric,14.906,49.323,225,top
C18,0.1uF,C_0402_1005Metric,28.368,56.435,135,top
C19,0.1uF,C_0402_1005Metric,35.734,48.815,135,top
C20,0.1uF,C_0402_1005Metric,43.862,40.687,135,top
C21,0.1uF,C_0402_1005Metric,41.656,27.813,45,top
C22,0.1uF,C_0402_1005Metric,32.94,18.843,45,top
C23,4.7uF,C_0603_1608Metric,25.32,11.985,90,top
C24,1uF,C_0402_1005Metric,43.33,25.781,90,top
C25,0.1uF,C_0402_1005Metric,43.33,24.765,90,top
C26,2.2uF,C_0603_1608Metric,6.524,42.211,225,top
C27,2.2uF,C_0603_1608Metric,33.6042,54.3814,45,top
C28,15pF,C_0402_1005Metric,35.226,14.271,45,top
C29,15pF,C_0402_1005Metric,34.21,13.255,45,top
C30,30pF,C_0402_1005Metric,41.529,17.78,0,top
C31,30pF,C_0402_1005Metric,42.672,17.78,0,top
C32,1uF,C_0402_1005Metric,63.928,21.891,90,top
C33,0.1uF,C_0402_1005Metric,56.054,23.669,270,top
C34,0.1uF,C_0402_1005Metric,56.054,27.987,270,top
C35,0.1uF,C_0402_1005Metric,56.054,37.893,270,top
C36,0.1uF,C_0402_1005Metric,56.054,43.989,270,top
C37,0.1uF,C_0402_1005Metric,72.818,26.463,90,top
C38,0.1uF,C_0402_1005Metric,72.818,39.671,90,top
C39,0.1uF,C_0402_1005Metric,72.818,42.719,90,top
C40,0.1uF,C_0402_1005Metric,56.054,25.193,270,top
C41,0.1uF,C_0402_1005Metric,56.054,31.035,270,top
C42,0.1uF,C_0402_1005Metric,56.054,40.941,270,top
C43,0.1uF,C_0402_1005Metric,56.031,45.513,270,top
C44,0.1uF,C_0402_1005Metric,72.818,29.765,90,top
C45,1uF,C_0402_1005Metric,57.277,52.832,0,top
C46,0.1uF,C_0402_1005Metric,56.261,52.832,0,top
C47,2.2uF,C_0603_1608Metric,66.294,57.785,0,top
C48,2.2uF,C_0603_1608Metric,72.644,52.197,90,top
C49,0.1uF,C_0402_1005Metric,38.3286,10.0076,0,top
C50,4.7uF,C_0805_2012Metric,11.303,61.595,90,top
C51,0.1uF,C_0402_1005Metric,15.344,56.388,90,top
C52,0.1uF,C_0402_1005Metric,12.192,51.308,90,top
C53,2.2uF,C_0603_1608Metric,70.231,9.8805,180,top
C54,2.2uF,C_0603_1608Metric,60.706,15.113,0,top
D1,LED0,LED_0603_1608Metric,2.7685,49.403,90,top
D2,LED1,LED_0603_1608Metric,2.794,46.101,90,top
D3,LED2,LED_0603_1608Metric,2.667,42.926,90,top
D4,B5819W,D_SOD-123,69.596,60.071,0,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,25.4,33.02,0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,60.96,6.35,0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,16.51,60.96,0,top
FID4,Fiducial,Fiducial_1mm_Mask2mm,6.9215,16.637,0,top
FID5,Fiducial,Fiducial_1mm_Mask2mm,63.9826,47.0916,0,top
J5,TOUCH,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,25.273,61.341,180,top
J6,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,2.794,56.065,270,top
L1,BEAD,L_0805_2012Metric,45.339,27.94,315,top
L2,BEAD,L_0805_2012Metric,44.069,23.114,270,top
L3,4.7uH,MWSA0402,73.533,56.388,90,top
L4,BEAD,L_0805_2012Metric,8.509,60.833,180,top
L5,COMMON_MODE,COMMON_MODE_FILTER_0805,18.796,56.388,90,top
R1,220,R_0402_1005Metric,6.096,49.403,90,top
R2,220,R_0402_1005Metric,6.096,48.006,90,top
R3,220,R_0402_1005Metric,6.096,46.609,90,top
R4,10k,R_0402_1005Metric,19.835,16.129,135,top
R5,10k,R_0402_1005Metric,13.8176,17.2212,90,top
R6,4.7k,R_0402_1005Metric,47.879,47.5004,180,top
R7,4.7k,R_0402_1005Metric,49.022,47.498,180,top
R8,10R,R_1206_3216Metric,67.31,53.467,0,top
R9,10R,R_1206_3216Metric,64.897,53.467,0,top
R10,10k,R_0402_1005Metric,27.4066,9.906,180,top
SW1,BOOT,TS_1187A,6.096,10.9855,180,top
SW2,RESET,TS_1187A,45.72,12.6492,180,top
U1,STM32F767BGTx,LQFP-208_28x28mm_P0.5mm,25.0914,35.226,135,top
U2,MT48LC4M32B2TG,TSOP_II-86-400mill,64.436,34.591,0,top
U3,TSC2007,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,52.832,50.419,270,top
U4,TPS61169,SC70,69.85,55.499,180,top
U5,MT25QL512ABB,W-PDFN-8,32.8422,8.636,0,top
U6,USBLC6-2SC6,SOT-23-6,12.319,56.388,0,top
U7,USBLC6-2SC6,SOT-23-6,9.271,51.308,0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,65.659,12.827,90,top
X1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,32.94,15.541,315,top
X2,25MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,40.277142,21.032223,45,top
